table,constraint,column,parent,prt_col
mobile_api_mobileapiconfig,mobile_api_mobileapi_changed_by_id_8799981a_fk_auth_user,changed_by_id,auth_user,id
program_enrollments_courseaccessroleassignment,program_enrollments__enrollment_id_4e0853f0_fk_program_e,enrollment_id,program_enrollments_programcourseenrollment,id
program_enrollments_programcourseenrollment,program_enrollments__course_enrollment_id_d7890690_fk_student_c,course_enrollment_id,student_courseenrollment,id
program_enrollments_programcourseenrollment,program_enrollments__program_enrollment_i_02ce2c32_fk_program_e,program_enrollment_id,program_enrollments_programenrollment,id
program_enrollments_programenrollment,program_enrollments__user_id_dcfde442_fk_auth_user,user_id,auth_user,id
programs_programsapiconfig,programs_programsapi_changed_by_id_93e09d74_fk_auth_user,changed_by_id,auth_user,id
schedules_schedule,schedules_schedule_enrollment_id_91bf8152_fk_student_c,enrollment_id,student_courseenrollment,id
schedules_scheduleconfig,schedules_scheduleconfig_changed_by_id_38ef599b_fk_auth_user_id,changed_by_id,auth_user,id
schedules_scheduleconfig,schedules_scheduleconfig_site_id_44296ee1_fk_django_site_id,site_id,django_site,id
schedules_scheduleexperience,schedules_scheduleex_schedule_id_ed95c8e7_fk_schedules,schedule_id,schedules_schedule,id
self_paced_selfpacedconfiguration,self_paced_selfpaced_changed_by_id_02789a26_fk_auth_user,changed_by_id,auth_user,id
site_configuration_siteconfiguration,site_configuration_s_site_id_84302d1f_fk_django_si,site_id,django_site,id
site_configuration_siteconfigurationhistory,site_configuration_s_site_id_272f5c1a_fk_django_si,site_id,django_site,id
static_replace_assetbaseurlconfig,static_replace_asset_changed_by_id_f592e050_fk_auth_user,changed_by_id,auth_user,id
static_replace_assetexcludedextensionsconfig,static_replace_asset_changed_by_id_e58299b3_fk_auth_user,changed_by_id,auth_user,id
status_coursemessage,status_coursemessage_global_message_id_01bbfbe6_fk_status_gl,global_message_id,status_globalstatusmessage,id
status_globalstatusmessage,status_globalstatusm_changed_by_id_3c627848_fk_auth_user,changed_by_id,auth_user,id
student_accountrecoveryconfiguration,student_accountrecov_changed_by_id_d9d1ddf6_fk_auth_user,changed_by_id,auth_user,id
student_allowedauthuser,student_allowedauthuser_site_id_9a6aae9b_fk_django_site_id,site_id,django_site,id
student_anonymoususerid,student_anonymoususerid_user_id_0fb2ad5c_fk_auth_user_id,user_id,auth_user,id
student_bulkchangeenrollmentconfiguration,student_bulkchangeen_changed_by_id_38bf23de_fk_auth_user,changed_by_id,auth_user,id
student_bulkunenrollconfiguration,student_bulkunenroll_changed_by_id_7b6131b9_fk_auth_user,changed_by_id,auth_user,id
student_courseaccessrole,student_courseaccessrole_user_id_90cf21fe_fk_auth_user_id,user_id,auth_user,id
student_courseenrollment,student_courseenrollment_user_id_4263a8e2_fk_auth_user_id,user_id,auth_user,id
student_courseenrollment_history,student_courseenroll_history_user_id_7065c772_fk_auth_user,history_user_id,auth_user,id
student_courseenrollmentallowed,student_courseenrollmentallowed_user_id_5875cce6_fk_auth_user_id,user_id,auth_user,id
student_courseenrollmentattribute,student_courseenroll_enrollment_id_b2173db0_fk_student_c,enrollment_id,student_courseenrollment,id
student_courseenrollmentcelebration,student_courseenroll_enrollment_id_c697e4ce_fk_student_c,enrollment_id,student_courseenrollment,id
student_dashboardconfiguration,student_dashboardcon_changed_by_id_1960484b_fk_auth_user,changed_by_id,auth_user,id
student_enrollmentrefundconfiguration,student_enrollmentre_changed_by_id_082b4f6f_fk_auth_user,changed_by_id,auth_user,id
student_entranceexamconfiguration,student_entranceexam_user_id_387a35d6_fk_auth_user,user_id,auth_user,id
