model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,reviews,ManyToOneRel,catalogue_product,,,,,,,reviews_productreview,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,stockrecords,ManyToOneRel,catalogue_product,,,,,,,partner_stockrecord,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,basket_lines,ManyToOneRel,catalogue_product,,,,,,,basket_line,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,includes,ManyToManyRel,catalogue_product,,,,,,,offer_range,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,excludes,ManyToManyRel,catalogue_product,,,,,,,offer_range,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,rangeproduct,ManyToOneRel,catalogue_product,,,,,,,offer_rangeproduct,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,line,ManyToOneRel,catalogue_product,,,,,,,order_line,ForeignKey,,SET_NULL,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,productalert,ManyToOneRel,catalogue_product,,,,,,,customer_productalert,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,wishlists_lines,ManyToOneRel,catalogue_product,,,,,,,wishlists_line,ForeignKey,,SET_NULL,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,id,BigAutoField,catalogue_product,,,True,,False,False,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,structure,CharField,catalogue_abstractproduct,,,False,10,False,False,,,standalone,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,is_public,BooleanField,catalogue_abstractproduct,,,False,,False,False,,,True,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,upc,NullCharField,catalogue_product,,,False,64,True,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,parent,ForeignKey,catalogue_product,,children,False,,False,True,catalogue_product,,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,title,CharField,catalogue_abstractproduct,,,False,255,False,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,slug,SlugField,catalogue_abstractproduct,,,False,255,False,False,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,description,TextField,catalogue_abstractproduct,,,False,,False,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,meta_title,CharField,catalogue_abstractproduct,,,False,255,False,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,meta_description,TextField,catalogue_abstractproduct,,,False,,False,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,product_class,ForeignKey,catalogue_product,,products,False,,False,True,catalogue_productclass,,,PROTECT,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,rating,FloatField,catalogue_abstractproduct,,,False,,False,True,,,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,date_created,DateTimeField,catalogue_abstractproduct,,,False,,False,False,,,,,no,2
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,date_updated,DateTimeField,catalogue_abstractproduct,,,False,,False,False,,,,,no,1
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,is_discountable,BooleanField,catalogue_abstractproduct,,,False,,False,False,,,True,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,attributes,ManyToManyField,catalogue_product,ProductAttributeValue,,False,,False,False,catalogue_productattribute,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,product_options,ManyToManyField,catalogue_product,Product_product_options,,False,,False,False,catalogue_option,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,recommended_products,ManyToManyField,catalogue_product,ProductRecommendation,,False,,False,False,catalogue_product,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,categories,ManyToManyField,catalogue_product,ProductCategory,,False,,False,False,catalogue_category,ManyToManyField,,,no,
ProductRecommendation,oscar.apps.catalogue.models,catalogue,catalogue_productrecommendation,id,BigAutoField,catalogue_productrecommendation,,,True,,False,False,,,,,no,
ProductRecommendation,oscar.apps.catalogue.models,catalogue,catalogue_productrecommendation,primary,ForeignKey,catalogue_productrecommendation,,primary_recommendations,False,,False,False,catalogue_product,,,CASCADE,yes,
ProductRecommendation,oscar.apps.catalogue.models,catalogue,catalogue_productrecommendation,recommendation,ForeignKey,catalogue_productrecommendation,,,False,,False,False,catalogue_product,,,CASCADE,yes,
ProductRecommendation,oscar.apps.catalogue.models,catalogue,catalogue_productrecommendation,ranking,PositiveSmallIntegerField,catalogue_abstractproductrecommendation,,,False,,False,False,,,0,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,product,ManyToManyRel,catalogue_productattribute,,,,,,,catalogue_product,ManyToManyField,,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,productattributevalue,ManyToOneRel,catalogue_productattribute,,,,,,,catalogue_productattributevalue,ForeignKey,,CASCADE,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,id,BigAutoField,catalogue_productattribute,,,True,,False,False,,,,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,product_class,ForeignKey,catalogue_productattribute,,attributes,False,,False,True,catalogue_productclass,,,CASCADE,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,name,CharField,catalogue_abstractproductattribute,,,False,128,False,False,,,,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,code,SlugField,catalogue_abstractproductattribute,,,False,128,False,False,,,,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,type,CharField,catalogue_abstractproductattribute,,,False,20,False,False,,,text,,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,option_group,ForeignKey,catalogue_productattribute,,product_attributes,False,,False,True,catalogue_attributeoptiongroup,,,CASCADE,no,
ProductAttribute,oscar.apps.catalogue.models,catalogue,catalogue_productattribute,required,BooleanField,catalogue_abstractproductattribute,,,False,,False,False,,,False,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,id,BigAutoField,catalogue_productattributevalue,,,True,,False,False,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,attribute,ForeignKey,catalogue_productattributevalue,,,False,,False,False,catalogue_productattribute,,,CASCADE,yes,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,product,ForeignKey,catalogue_productattributevalue,,attribute_values,False,,False,False,catalogue_product,,,CASCADE,yes,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_text,TextField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_integer,IntegerField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_boolean,BooleanField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_float,FloatField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_richtext,TextField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_date,DateField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_datetime,DateTimeField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_option,ForeignKey,catalogue_productattributevalue,,,False,,False,True,catalogue_attributeoption,,,CASCADE,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_file,FileField,catalogue_productattributevalue,,,False,255,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_image,ImageField,catalogue_productattributevalue,,,False,255,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,entity_content_type,ForeignKey,catalogue_productattributevalue,,,False,,False,True,django_content_type,,,CASCADE,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,entity_object_id,PositiveIntegerField,catalogue_abstractproductattributevalue,,,False,,False,True,,,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_multi_option,ManyToManyField,catalogue_productattributevalue,ProductAttributeValue_value_multi_option,multi_valued_attribute_values,False,,False,False,catalogue_attributeoption,ManyToManyField,,,no,
ProductAttributeValue,oscar.apps.catalogue.models,catalogue,catalogue_productattributevalue,value_entity,GenericForeignKey,catalogue_productattributevalue,,,,,,,,,,,no,
AttributeOptionGroup,oscar.apps.catalogue.models,catalogue,catalogue_attributeoptiongroup,product_attributes,ManyToOneRel,catalogue_attributeoptiongroup,,,,,,,catalogue_productattribute,ForeignKey,,CASCADE,no,
AttributeOptionGroup,oscar.apps.catalogue.models,catalogue,catalogue_attributeoptiongroup,options,ManyToOneRel,catalogue_attributeoptiongroup,,,,,,,catalogue_attributeoption,ForeignKey,,CASCADE,no,
AttributeOptionGroup,oscar.apps.catalogue.models,catalogue,catalogue_attributeoptiongroup,id,BigAutoField,catalogue_attributeoptiongroup,,,True,,False,False,,,,,no,
AttributeOptionGroup,oscar.apps.catalogue.models,catalogue,catalogue_attributeoptiongroup,name,CharField,catalogue_abstractattributeoptiongroup,,,False,128,False,False,,,,,no,
AttributeOption,oscar.apps.catalogue.models,catalogue,catalogue_attributeoption,productattributevalue,ManyToOneRel,catalogue_attributeoption,,,,,,,catalogue_productattributevalue,ForeignKey,,CASCADE,no,
AttributeOption,oscar.apps.catalogue.models,catalogue,catalogue_attributeoption,multi_valued_attribute_values,ManyToManyRel,catalogue_attributeoption,,,,,,,catalogue_productattributevalue,ManyToManyField,,,no,
AttributeOption,oscar.apps.catalogue.models,catalogue,catalogue_attributeoption,id,BigAutoField,catalogue_attributeoption,,,True,,False,False,,,,,no,
AttributeOption,oscar.apps.catalogue.models,catalogue,catalogue_attributeoption,group,ForeignKey,catalogue_attributeoption,,options,False,,False,False,catalogue_attributeoptiongroup,,,CASCADE,no,
AttributeOption,oscar.apps.catalogue.models,catalogue,catalogue_attributeoption,option,CharField,catalogue_abstractattributeoption,,,False,255,False,False,,,,,no,
Option,oscar.apps.catalogue.models,catalogue,catalogue_option,productclass,ManyToManyRel,catalogue_option,,,,,,,catalogue_productclass,ManyToManyField,,,no,
Option,oscar.apps.catalogue.models,catalogue,catalogue_option,product,ManyToManyRel,catalogue_option,,,,,,,catalogue_product,ManyToManyField,,,no,
